LeadID,LeadSource,Age,Gender,EmploymentStatus,Income,MaritalStatus,Province,InitialProductInterest,WebsiteVisits_PreConversion,TimeOnWebsite_Minutes,EmailOpenedCount,DaysSinceInquiry,CallCenterInquiries,BranchVisits,ReferrerCustomer,HasExistingProducts,FirstContactChannel,ConversionProbability,ConversionClass,ConvertedFlag,FirstProductTaken,FirstTransactionAmount,MonthlyRevenue,TenureMonths,CLTV
L00001,Referral,39,Female,Self-employed,60679.91,Divorced,British Columbia,Credit Card,2,2.88,8,80,0,0,0,0,Branch,0.772,High,0,nan,0,0.0,0,0.0
L00002,Partnership,19,Male,Part-time,48959.32,Single,Quebec,Credit Card,2,18.58,0,30,0,0,0,0,Website,0.475,Medium,0,nan,0,0.0,0,0.0
L00003,Social Media,21,Male,,28953.99,Married,British Columbia,Investment,2,21.38,0,111,2,0,1,0,Branch,0.425,Medium,1,Investment,2378,39.09,54,2110.99
L00004,Branch Walk-in,62,Female,Part-time,75863.07,Single,Quebec,Credit Card,1,11.38,7,63,0,1,0,1,Website,0.732,High,1,Credit Card,1498,110.63,43,4757.23
L00005,Online Ad,30,Female,Self-employed,48526.55,Married,Ontario,Chequing Account,8,20.15,9,52,2,1,0,0,Website,0.377,Medium,0,nan,0,0.0,0,0.0
L00006,Online Ad,49,Male,Student,63816.24,Married,Ontario,Credit Card,4,12.93,5,22,0,1,0,0,Call,0.509,Medium,0,nan,0,0.0,0,0.0
L00007,Online Ad,39,Female,Part-time,62894.15,Single,Ontario,Chequing Account,2,29.8,7,115,1,1,1,0,Call,0.49,Medium,1,Chequing Account,2622,205.21,37,7592.68
L00008,Partnership,42,Female,Full-time,86361.98,Married,Ontario,Credit Card,2,11.53,1,119,0,0,0,1,Call,0.807,High,1,Credit Card,4788,133.74,46,6152.14
L00009,Branch Walk-in,44,Female,Student,15000.0,Married,Quebec,Chequing Account,1,29.86,2,25,2,0,1,1,Call,0.43,Medium,1,Chequing Account,7878,50.84,36,1830.39
L00010,Social Media,34,Female,Full-time,115072.91,Married,Ontario,Credit Card,6,4.68,2,93,1,0,0,0,Website,0.958,High,1,Credit Card,4013,147.11,42,6178.66
L00011,Online Ad,23,Male,Full-time,81397.69,Married,Quebec,Investment,2,23.18,0,2,0,0,0,1,Website,0.67,High,1,Investment,8878,268.73,49,13167.66
L00012,Partnership,60,Female,Full-time,86116.04,Divorced,Alberta,Chequing Account,8,0.46,0,53,1,0,1,1,Call,0.899,High,1,Chequing Account,948,266.56,18,4798.08
L00013,Social Media,68,Male,Part-time,48750.76,Single,Ontario,Mortgage,7,13.67,7,72,1,0,0,0,Email,0.475,Medium,1,Mortgage,2593,197.99,52,10295.71
L00014,Online Ad,33,Female,Full-time,70076.02,Married,,Credit Card,5,20.09,1,32,0,0,1,1,Email,0.675,High,0,nan,0,0.0,0,0.0
L00015,Online Ad,25,Female,Self-employed,84915.63,Married,Manitoba,Investment,3,14.83,7,25,0,0,0,1,Website,0.583,Medium,1,Investment,2122,133.96,47,6296.17
L00016,Online Ad,50,Male,Student,91960.58,Married,Ontario,Chequing Account,2,13.33,8,106,1,1,0,1,Email,0.644,High,1,Chequing Account,9055,72.84,51,3715.06
L00017,Referral,27,Female,Full-time,91168.48,Single,Quebec,Credit Card,3,8.85,9,98,0,2,1,0,Call,1.0,High,1,Credit Card,1514,83.51,7,584.57
L00018,Branch Walk-in,51,Female,Full-time,81942.59,Single,Quebec,Credit Card,6,11.19,0,104,1,0,1,0,Call,0.78,High,1,Credit Card,5190,128.79,58,7470.06
L00019,Referral,36,Female,Student,64473.48,Single,Ontario,Credit Card,6,11.11,9,112,0,0,0,0,Website,0.765,High,1,Credit Card,2513,204.64,3,613.92
L00020,Referral,31,Male,Full-time,40773.88,Married,Ontario,Investment,3,12.89,4,119,0,0,0,0,Email,0.791,High,1,Investment,7525,270.84,28,7583.65
L00021,Branch Walk-in,20,Female,Full-time,68810.24,Single,Quebec,Investment,2,0.73,5,36,1,0,0,1,Email,0.822,High,1,Investment,6244,181.9,56,10186.51
L00022,Online Ad,58,Female,Full-time,122409.11,Single,British Columbia,Chequing Account,3,13.27,8,15,2,1,0,0,Email,0.954,High,1,Chequing Account,5495,124.29,51,6338.77
L00023,Referral,40,Female,Full-time,40963.69,Single,Quebec,Chequing Account,3,22.81,5,82,1,1,0,0,Website,0.728,High,1,Chequing Account,4576,110.54,21,2321.39
L00024,Referral,57,Female,Full-time,35290.66,Married,British Columbia,Chequing Account,2,6.24,4,15,1,0,0,1,Call,0.787,High,1,Chequing Account,2243,72.83,8,582.66
L00025,Branch Walk-in,28,Female,Full-time,124467.95,Married,Quebec,Chequing Account,2,5.07,9,18,0,0,0,1,Email,1.0,High,1,Chequing Account,9862,161.84,35,5664.49
L00026,Social Media,64,Female,Self-employed,76286.5,Single,Manitoba,Mortgage,6,21.29,6,84,2,0,0,1,Call,0.491,Medium,0,nan,0,0.0,0,0.0
L00027,Online Ad,23,Male,Full-time,35841.98,Married,British Columbia,Investment,2,9.81,9,33,3,2,0,0,Branch,0.599,Medium,1,Investment,8765,274.99,48,13199.46
L00028,Branch Walk-in,51,Female,Full-time,76578.98,Single,Ontario,Chequing Account,4,12.3,0,38,0,0,0,0,Call,0.935,High,1,Chequing Account,4269,93.1,50,4654.78
L00029,Branch Walk-in,18,Female,Full-time,67547.83,Single,Manitoba,Mortgage,1,15.68,9,14,0,0,0,0,Call,0.801,High,1,Mortgage,6309,88.85,49,4353.62
L00030,Online Ad,52,Female,Full-time,115049.34,Married,Manitoba,Credit Card,3,11.3,7,102,2,0,0,0,Email,0.821,High,1,Credit Card,3967,171.59,17,2916.98
L00031,Branch Walk-in,42,Male,Student,111173.58,Single,Quebec,Chequing Account,5,16.16,5,106,0,0,1,0,Call,1.0,High,1,Chequing Account,2018,117.74,31,3649.83
L00032,Online Ad,46,Male,Full-time,84581.18,Married,Ontario,Chequing Account,5,10.99,8,98,2,1,0,1,Call,0.813,High,0,nan,0,0.0,0,0.0
L00033,Online Ad,40,Male,Student,91444.57,Single,Alberta,Chequing Account,4,16.49,1,20,1,1,0,1,Call,0.701,High,1,Chequing Account,1941,187.06,15,2805.93
L00034,Partnership,35,Female,Self-employed,70562.67,Married,Ontario,Investment,3,18.51,7,70,0,0,0,0,Email,0.563,Medium,1,Investment,3239,283.21,28,7929.9
L00035,Partnership,31,Male,Part-time,122284.34,Married,Quebec,Credit Card,4,18.57,2,52,1,0,0,1,Website,0.812,High,1,Credit Card,5093,295.26,23,6791.06
L00036,Social Media,34,Male,Full-time,77340.23,Single,Quebec,Mortgage,5,1.33,1,51,3,0,0,0,Website,0.666,High,1,Mortgage,6326,99.15,32,3172.93
