AgeGroup,IncomeBracket,InitialProductInterest,ConversionProbability
Mid-Age (30–50),40K-80K,Credit Card,0.772
Young (<30),40K-80K,Credit Card,0.475
Young (<30),<40K,Investment,0.425
Senior (50+),40K-80K,Credit Card,0.732
Mid-Age (30–50),40K-80K,Chequing Account,0.377
Mid-Age (30–50),40K-80K,Credit Card,0.509
Mid-Age (30–50),40K-80K,Chequing Account,0.49
Mid-Age (30–50),80K-120K,Credit Card,0.807
Mid-Age (30–50),<40K,Chequing Account,0.43
Mid-Age (30–50),80K-120K,Credit Card,0.958
Young (<30),80K-120K,Investment,0.67
Senior (50+),80K-120K,Chequing Account,0.899
Senior (50+),40K-80K,Mortgage,0.475
Mid-Age (30–50),40K-80K,Credit Card,0.675
Young (<30),80K-120K,Investment,0.583
Mid-Age (30–50),80K-120K,Chequing Account,0.644
Young (<30),80K-120K,Credit Card,1.0
Senior (50+),80K-120K,Credit Card,0.78
Mid-Age (30–50),40K-80K,Credit Card,0.765
Mid-Age (30–50),40K-80K,Investment,0.791
Young (<30),40K-80K,Investment,0.822
Senior (50+),120K–200K,Chequing Account,0.954
Mid-Age (30–50),40K-80K,Chequing Account,0.728
Senior (50+),<40K,Chequing Account,0.787
Young (<30),120K–200K,Chequing Account,1.0
Senior (50+),40K-80K,Mortgage,0.491
Young (<30),<40K,Investment,0.599
Senior (50+),40K-80K,Chequing Account,0.935
Young (<30),40K-80K,Mortgage,0.801
Senior (50+),80K-120K,Credit Card,0.821
Mid-Age (30–50),80K-120K,Chequing Account,1.0
Mid-Age (30–50),80K-120K,Chequing Account,0.813
Mid-Age (30–50),80K-120K,Chequing Account,0.701
Mid-Age (30–50),40K-80K,Investment,0.563
Mid-Age (30–50),120K–200K,Credit Card,0.812
Mid-Age (30–50),40K-80K,Mortgage,0.666
Young (<30),40K-80K,Mortgage,0.861
Mid-Age (30–50),80K-120K,Credit Card,0.871
Mid-Age (30–50),80K-120K,Mortgage,0.748
Mid-Age (30–50),40K-80K,Mortgage,0.824
Mid-Age (30–50),40K-80K,Chequing Account,0.383
Senior (50+),40K-80K,Mortgage,0.696
Young (<30),80K-120K,Chequing Account,0.677
Senior (50+),40K-80K,Investment,0.533
Senior (50+),40K-80K,Chequing Account,0.766
Senior (50+),<40K,Mortgage,0.762
Senior (50+),40K-80K,Investment,0.993
Mid-Age (30–50),40K-80K,Chequing Account,0.782
