AgeGroup,IncomeBracket,InitialProductInterest,ConversionProbability,Predicted_CLTV
Mid-Age (30–50),40K-80K,Credit Card,0.772,0.0
Young (<30),40K-80K,Credit Card,0.475,0.0
Young (<30),<40K,Investment,0.425,5030.188220390797
Senior (50+),40K-80K,Credit Card,0.732,5390.612661200599
Mid-Age (30–50),40K-80K,Chequing Account,0.377,0.0
Mid-Age (30–50),40K-80K,Credit Card,0.509,0.0
Mid-Age (30–50),40K-80K,Chequing Account,0.49,7358.278878828485
Mid-Age (30–50),80K-120K,Credit Card,0.807,6630.570819771066
Mid-Age (30–50),<40K,Chequing Account,0.43,0.0
Mid-Age (30–50),80K-120K,Credit Card,0.958,6344.014500876221
Young (<30),80K-120K,Investment,0.67,11101.21446410107
Senior (50+),80K-120K,Chequing Account,0.899,5985.3709896455075
Senior (50+),40K-80K,Mortgage,0.475,9381.371260575492
Mid-Age (30–50),40K-80K,Credit Card,0.675,0.0
Young (<30),80K-120K,Investment,0.583,6753.803793053603
Mid-Age (30–50),80K-120K,Chequing Account,0.644,5534.257186749415
Young (<30),80K-120K,Credit Card,1.0,-1136.781114400375
Senior (50+),80K-120K,Credit Card,0.78,8284.200496278267
Mid-Age (30–50),40K-80K,Credit Card,0.765,1877.4887872153959
Mid-Age (30–50),40K-80K,Investment,0.791,7855.502780274188
Young (<30),40K-80K,Investment,0.822,9629.46911648569
Senior (50+),120K–200K,Chequing Account,0.954,7026.550593241385
Mid-Age (30–50),40K-80K,Chequing Account,0.728,1928.4356936067197
Senior (50+),<40K,Chequing Account,0.787,-1284.4607411554139
Young (<30),120K–200K,Chequing Account,1.0,5672.87177880158
Senior (50+),40K-80K,Mortgage,0.491,0.0
Young (<30),<40K,Investment,0.599,11131.584194079313
Senior (50+),40K-80K,Chequing Account,0.935,6003.555677846965
Young (<30),40K-80K,Mortgage,0.801,5735.66671708186
Senior (50+),80K-120K,Credit Card,0.821,3057.0825782899037
Mid-Age (30–50),80K-120K,Chequing Account,1.0,3613.1764083421294
Mid-Age (30–50),80K-120K,Chequing Account,0.813,0.0
Mid-Age (30–50),80K-120K,Chequing Account,0.701,3146.1755554065758
Mid-Age (30–50),40K-80K,Investment,0.563,0.0
Mid-Age (30–50),120K–200K,Credit Card,0.812,7704.975754208577
Mid-Age (30–50),40K-80K,Mortgage,0.666,3226.652356704326
Young (<30),40K-80K,Mortgage,0.861,4876.137577568941
Mid-Age (30–50),80K-120K,Credit Card,0.871,10686.9812895707
Mid-Age (30–50),80K-120K,Mortgage,0.748,5484.361141526315
Mid-Age (30–50),40K-80K,Mortgage,0.824,-1800.602769390578
Mid-Age (30–50),40K-80K,Chequing Account,0.383,0.0
Senior (50+),40K-80K,Mortgage,0.696,0.0
Young (<30),80K-120K,Chequing Account,0.677,-4897.243942485735
Senior (50+),40K-80K,Investment,0.533,0.0
Senior (50+),40K-80K,Chequing Account,0.766,0.0
Senior (50+),<40K,Mortgage,0.762,8711.183115239834
Senior (50+),40K-80K,Investment,0.993,5693.478224598552
Mid-Age (30–50),40K-80K,Chequing Account,0.782,3158.96083870411
Mid-Age (30–50),80K-120K,Mortgage,0.957,0.0
Senior (50+),40K-80K,Credit Card,0.479,0.0
Young (<30),80K-120K,Credit Card,0.656,0.0
Senior (50+),80K-120K,Mortgage,0.562,0.0
Senior (50+),40K-80K,Mortgage,0.68,2380.317189197818
Mid-Age (30–50),120K–200K,Credit Card,0.788,12069.161269306755
Senior (50+),40K-80K,Mortgage,0.847,10050.970391018283
Young (<30),<40K,Mortgage,0.389,4461.341965050211
Mid-Age (30–50),80K-120K,Investment,0.538,5088.326178836196
Mid-Age (30–50),40K-80K,Credit Card,0.676,6464.954745135961
Mid-Age (30–50),40K-80K,Credit Card,0.688,0.0
Mid-Age (30–50),40K-80K,Mortgage,0.786,4101.167222950506
Mid-Age (30–50),80K-120K,Investment,1.0,5127.963107395935
Mid-Age (30–50),80K-120K,Chequing Account,0.861,2586.564701708813
Mid-Age (30–50),120K–200K,Credit Card,1.0,5520.144512315657
Senior (50+),40K-80K,Credit Card,0.776,2446.9044140864535
Young (<30),40K-80K,Mortgage,0.934,3153.583229995671
Senior (50+),40K-80K,Mortgage,0.706,0.0
Young (<30),40K-80K,Investment,0.339,0.0
Mid-Age (30–50),80K-120K,Credit Card,0.71,0.0
Senior (50+),40K-80K,Credit Card,0.263,4248.031108050152
Mid-Age (30–50),40K-80K,Investment,0.458,0.0
Mid-Age (30–50),40K-80K,Mortgage,0.771,3037.6885928949114
Senior (50+),80K-120K,Credit Card,0.858,-343.6894038143846
Senior (50+),<40K,Credit Card,0.531,7141.949639200495
Mid-Age (30–50),80K-120K,Credit Card,0.731,4990.677591248072
Senior (50+),40K-80K,Credit Card,0.44,0.0
Senior (50+),<40K,Mortgage,0.426,4026.4548775243366
Senior (50+),40K-80K,Chequing Account,0.645,1903.8749928057314
Senior (50+),80K-120K,Chequing Account,0.651,3293.076906901544
Young (<30),80K-120K,Chequing Account,1.0,4905.770456614111
Young (<30),40K-80K,Chequing Account,0.224,0.0
Young (<30),40K-80K,Chequing Account,0.65,5310.861451759796
Mid-Age (30–50),80K-120K,Credit Card,0.991,3869.2027339266897
Young (<30),80K-120K,Chequing Account,1.0,10567.066749059437
Young (<30),40K-80K,Mortgage,0.792,0.0
Young (<30),40K-80K,Mortgage,0.732,6519.991933037765
Mid-Age (30–50),80K-120K,Credit Card,1.0,8440.122677643349
Mid-Age (30–50),80K-120K,Chequing Account,0.608,4201.147460163194
Mid-Age (30–50),40K-80K,Mortgage,0.753,0.0
Mid-Age (30–50),40K-80K,Investment,0.769,526.0875220972102
Mid-Age (30–50),40K-80K,Mortgage,0.872,7661.220807333224
Mid-Age (30–50),80K-120K,Credit Card,0.801,0.0
Senior (50+),40K-80K,Chequing Account,0.572,0.0
Young (<30),40K-80K,Mortgage,0.493,0.0
Young (<30),<40K,Mortgage,0.661,0.0
Senior (50+),80K-120K,Credit Card,0.592,11254.107024559791
Senior (50+),40K-80K,Chequing Account,0.803,0.0
Young (<30),40K-80K,Investment,0.849,4126.079183495307
Mid-Age (30–50),40K-80K,Chequing Account,0.79,0.0
Mid-Age (30–50),40K-80K,Investment,0.68,286.8012030744121
Senior (50+),80K-120K,Chequing Account,0.777,0.0
Mid-Age (30–50),120K–200K,Chequing Account,0.926,9544.767897267531
Mid-Age (30–50),80K-120K,Mortgage,1.0,-744.293356656488
Senior (50+),40K-80K,Credit Card,0.86,8121.702861091333
Mid-Age (30–50),40K-80K,Mortgage,0.848,6845.797185740019
Mid-Age (30–50),40K-80K,Mortgage,0.419,0.0
Mid-Age (30–50),<40K,Chequing Account,0.386,0.0
Senior (50+),40K-80K,Mortgage,0.966,-390.1289267514312
Senior (50+),80K-120K,Mortgage,0.59,7382.8907681310775
Senior (50+),40K-80K,Mortgage,0.721,2028.9572111141324
Mid-Age (30–50),80K-120K,Mortgage,0.549,0.0
Mid-Age (30–50),<40K,Credit Card,0.637,279.9505789085979
Young (<30),<40K,Mortgage,0.36,0.0
Young (<30),80K-120K,Chequing Account,0.83,1287.399195209844
Young (<30),40K-80K,Chequing Account,0.679,0.0
Young (<30),80K-120K,Credit Card,1.0,7838.843365967468
Mid-Age (30–50),40K-80K,Credit Card,0.514,4738.299870495455
Mid-Age (30–50),40K-80K,Mortgage,0.692,444.92937519375664
Young (<30),40K-80K,Mortgage,0.721,11839.96909991754
Young (<30),80K-120K,Chequing Account,0.629,-3828.3974714623664
Mid-Age (30–50),80K-120K,Mortgage,1.0,10907.20023783966
Mid-Age (30–50),40K-80K,Chequing Account,0.534,7788.279678657456
Mid-Age (30–50),40K-80K,Mortgage,0.675,0.0
Mid-Age (30–50),80K-120K,Credit Card,0.959,677.1901252028529
Young (<30),80K-120K,Mortgage,0.608,0.0
Senior (50+),40K-80K,Mortgage,0.464,0.0
Mid-Age (30–50),80K-120K,Credit Card,0.902,3991.9902896516815
Mid-Age (30–50),40K-80K,Credit Card,0.579,6000.057850553867
Mid-Age (30–50),40K-80K,Credit Card,0.628,0.0
Mid-Age (30–50),<40K,Mortgage,0.383,0.0
Senior (50+),40K-80K,Credit Card,0.887,6026.714665838241
Mid-Age (30–50),40K-80K,Credit Card,0.876,0.0
Senior (50+),80K-120K,Credit Card,0.68,7519.570396469058
Young (<30),40K-80K,Chequing Account,0.727,6925.611896641845
Mid-Age (30–50),80K-120K,Investment,1.0,7934.382216195238
Young (<30),<40K,Chequing Account,0.418,-3313.8703768631503
Mid-Age (30–50),80K-120K,Credit Card,1.0,6330.560635413038
Mid-Age (30–50),40K-80K,Investment,0.835,11612.363777657323
Senior (50+),40K-80K,Mortgage,0.401,4759.540010832732
Senior (50+),40K-80K,Chequing Account,0.793,4277.464783738325
Mid-Age (30–50),<40K,Chequing Account,0.408,11850.93530107825
Mid-Age (30–50),40K-80K,Credit Card,0.624,7839.874406588451
Mid-Age (30–50),120K–200K,Chequing Account,1.0,4606.241061586727
Mid-Age (30–50),40K-80K,Mortgage,0.765,6541.108588339293
Mid-Age (30–50),40K-80K,Mortgage,0.878,6744.2261623506765
Young (<30),80K-120K,Investment,1.0,7584.008989838003
Senior (50+),40K-80K,Chequing Account,0.488,1694.7207546833843
Young (<30),80K-120K,Chequing Account,1.0,8987.301879260525
Young (<30),<40K,Mortgage,0.648,0.0
Senior (50+),40K-80K,Chequing Account,0.492,0.0
Senior (50+),80K-120K,Credit Card,0.899,0.0
Young (<30),<40K,Chequing Account,0.486,1363.2506775111715
Mid-Age (30–50),40K-80K,Credit Card,0.344,1066.884700404199
Mid-Age (30–50),<40K,Chequing Account,0.452,0.0
Mid-Age (30–50),40K-80K,Mortgage,0.751,6079.336790663823
Young (<30),40K-80K,Chequing Account,0.666,0.0
Mid-Age (30–50),<40K,Credit Card,0.333,0.0
Senior (50+),40K-80K,Credit Card,0.832,1139.8190950738917
Senior (50+),80K-120K,Chequing Account,0.641,-113.56753604853111
Young (<30),40K-80K,Credit Card,0.486,7122.002542742905
Mid-Age (30–50),40K-80K,Mortgage,0.597,11196.735254772018
Young (<30),80K-120K,Mortgage,1.0,3604.9090259187797
Mid-Age (30–50),80K-120K,Credit Card,0.899,3375.051543473105
Young (<30),<40K,Credit Card,0.815,0.0
Mid-Age (30–50),40K-80K,Mortgage,0.814,0.0
Senior (50+),40K-80K,Credit Card,0.627,3031.582302813071
Mid-Age (30–50),40K-80K,Credit Card,0.564,0.0
Senior (50+),120K–200K,Mortgage,1.0,6244.826816209123
Senior (50+),80K-120K,Investment,0.634,3690.4552849272022
Mid-Age (30–50),40K-80K,Credit Card,0.419,0.0
Senior (50+),40K-80K,Chequing Account,0.871,2872.029707798315
Senior (50+),40K-80K,Credit Card,0.783,4891.561724232053
Mid-Age (30–50),40K-80K,Credit Card,0.566,0.0
Young (<30),40K-80K,Mortgage,0.814,6882.354051394746
Mid-Age (30–50),120K–200K,Mortgage,0.851,6556.1384847684785
Senior (50+),<40K,Credit Card,0.604,0.0
Mid-Age (30–50),40K-80K,Chequing Account,0.593,0.0
Mid-Age (30–50),120K–200K,Credit Card,1.0,-2175.4684549335993
Mid-Age (30–50),80K-120K,Credit Card,1.0,3218.0473428180194
Young (<30),80K-120K,Chequing Account,0.755,9449.884839236105
Mid-Age (30–50),40K-80K,Credit Card,0.516,11041.971868480923
Young (<30),80K-120K,Credit Card,1.0,11689.276354981994
Senior (50+),80K-120K,Mortgage,0.528,0.0
Young (<30),80K-120K,Credit Card,0.971,1459.4368790985427
Young (<30),80K-120K,Credit Card,0.806,3126.5444063581563
Mid-Age (30–50),40K-80K,Investment,0.759,4278.212944704221
Mid-Age (30–50),120K–200K,Mortgage,0.986,869.44954727808
Mid-Age (30–50),40K-80K,Investment,0.702,2440.203599816343
Senior (50+),40K-80K,Mortgage,0.674,6466.398111501427
Senior (50+),80K-120K,Credit Card,0.826,7582.0025663132965
Mid-Age (30–50),80K-120K,Credit Card,0.687,0.0
Senior (50+),40K-80K,Mortgage,0.582,-1119.3509831438291
Senior (50+),40K-80K,Investment,0.572,6883.6346591147885
Mid-Age (30–50),80K-120K,Credit Card,0.738,0.0
Young (<30),40K-80K,Mortgage,0.755,6843.106646525355
Senior (50+),80K-120K,Investment,0.901,1161.6861719423423
Senior (50+),80K-120K,Credit Card,1.0,2267.956035493333
Mid-Age (30–50),40K-80K,Credit Card,0.518,0.0
Senior (50+),40K-80K,Investment,0.781,2130.949665716181
Senior (50+),80K-120K,Investment,0.805,-4884.873730942121
Mid-Age (30–50),80K-120K,Credit Card,0.875,8054.511245574786
Senior (50+),40K-80K,Investment,0.963,7710.997064897218
Mid-Age (30–50),40K-80K,Investment,0.568,3599.0035973109043
Mid-Age (30–50),<40K,Mortgage,0.365,0.0
Young (<30),80K-120K,Credit Card,0.744,0.0
Mid-Age (30–50),80K-120K,Chequing Account,0.964,-790.8949287996238
Senior (50+),<40K,Credit Card,0.214,0.0
Senior (50+),80K-120K,Mortgage,0.708,0.0
Mid-Age (30–50),40K-80K,Credit Card,0.883,2198.9176336853225
Mid-Age (30–50),80K-120K,Chequing Account,0.639,5231.707931737294
Mid-Age (30–50),80K-120K,Mortgage,0.71,9090.8864750723
Senior (50+),40K-80K,Mortgage,0.822,0.0
Young (<30),40K-80K,Mortgage,0.636,0.0
Mid-Age (30–50),40K-80K,Chequing Account,0.816,5426.383792954404
Mid-Age (30–50),40K-80K,Credit Card,0.661,0.0
Mid-Age (30–50),<40K,Mortgage,0.466,0.0
Young (<30),40K-80K,Investment,0.567,6226.5313837486065
Young (<30),80K-120K,Chequing Account,1.0,-2341.0534214984004
Senior (50+),40K-80K,Mortgage,0.627,3952.3361718675205
Young (<30),80K-120K,Credit Card,1.0,-1160.0011551216685
Mid-Age (30–50),80K-120K,Credit Card,0.698,11557.051295348756
Mid-Age (30–50),80K-120K,Credit Card,0.99,11212.225569568283
Young (<30),40K-80K,Chequing Account,0.865,6947.696820089488
Young (<30),120K–200K,Chequing Account,1.0,-344.60360392540315
Mid-Age (30–50),40K-80K,Chequing Account,0.79,0.0
